,Frame,min,max,prox,dist
0,0,-70,70,2,2
1,100,-70,70,2,2
2,200,-70,70,2,2
3,300,-70,70,2,2
4,400,-70,70,2,2
5,500,-70,70,2,2
6,600,-70,70,2,2
7,700,-70,70,2,2
8,800,-70,70,2,2
9,900,-70,64,2,8
10,1000,-70,59,2,13
11,1100,-70,67,2,5
12,1200,-70,58,2,14
13,1300,-70,70,2,2
14,1400,-70,69,2,3
15,1500,-70,70,2,2
16,1600,-70,70,2,2
17,1700,-70,70,2,2
18,1800,-70,70,2,2
19,1900,-70,70,2,2
20,2000,-70,70,2,2
21,2100,-70,70,2,2
22,2200,-70,70,2,2
23,2300,-70,70,2,2
24,2400,-70,70,2,2
25,2500,-70,70,2,2
26,2600,-70,70,2,2
27,2700,-70,70,2,2
28,2800,-70,70,2,2
29,2900,-70,70,2,2
30,3000,-70,70,2,2
31,3100,-70,70,2,2
32,3200,-70,70,2,2
33,3300,-70,70,2,2
34,3400,-70,70,2,2
35,3500,-70,70,2,2
36,3600,-70,70,2,2
37,3700,-70,70,2,2
38,3800,-59,70,13,2
39,3900,-59,70,13,2
40,4000,-59,70,13,2
41,4100,-66,70,6,2
42,4200,-66,70,6,2
43,4300,-60,70,12,2
44,4400,-67,70,5,2
45,4500,-67,70,5,2
46,4600,-67,70,5,2
47,4700,-67,70,5,2
48,4800,-67,70,5,2
49,4900,-59,70,13,2
50,5000,-55,70,17,2
51,5100,-59,70,13,2
52,5200,-59,70,13,2
53,5300,-70,70,2,2
54,5400,-59,70,13,2
55,5500,-59,70,13,2
56,5600,-59,70,13,2
57,5700,-64,70,8,2
58,5800,-71,70,1,2
59,5900,-60,70,12,2
60,6000,-65,70,7,2
61,6100,-60,70,12,2
62,6200,-67,70,5,2
63,6300,-70,70,2,2
64,6400,-59,70,13,2
65,6500,-66,70,6,2
66,6600,-59,70,13,2
67,6700,-59,70,13,2
68,6800,-67,70,5,2
69,6900,-59,70,13,2
70,7000,-64,70,8,2
71,7100,-60,70,12,2
72,7200,-64,70,8,2
73,7300,-60,70,12,2
74,7400,-60,59,12,13
75,7500,-66,59,6,13
76,7600,-64,63,8,9
77,7700,-64,66,8,6
78,7800,-67,59,5,13
79,7900,-60,69,12,3
80,8000,-59,59,13,13
81,8100,-60,70,12,2
82,8200,-60,59,12,13
83,8300,-60,59,12,13
84,8400,-64,59,8,13
85,8500,-71,59,1,13
86,8600,-60,59,12,13
87,8700,-71,59,1,13
88,8800,-64,70,8,2
89,8900,-66,70,6,2
90,9000,-70,70,2,2
91,9100,-67,70,5,2
92,9200,-65,70,7,2
93,9300,-59,70,13,2
94,9400,-59,70,13,2
95,9500,-70,70,2,2
96,9600,-66,70,6,2
97,9700,-64,70,8,2
98,9800,-67,70,5,2
99,9900,-59,70,13,2
